Heurística,VA_Temp,VO_Temp,VA_Hum,VO_Hum,VA_Noise,VO_Noise,VA_Light,VO_Luz,Satisfacción
Algoritmo Genético,24,19.792653318842557,91,51.29699969418843,39,6.129656711357832,3161,390.9904975441949,0.46054249999999997
Algoritmo Genético,28,18.58872078836504,55,47.66499824652198,21,46.095375280476254,4521,337.0133484971934,0.488444375
Algoritmo Genético,31,24.86814904344332,90,58.152097249971526,35,45.71522298896426,3473,326.8142574473562,0.479324375
Algoritmo Genético,30,21.333298839777903,57,48.94257957150262,19,3.2348884574187453,5198,439.0522805605716,0.478638125
Algoritmo Genético,30,24.586931732419043,100,40.108832884581865,9,54.67593808104007,2247,233.8438540330614,0.489396875
Algoritmo Genético,27,24.90398890291349,83,48.49456663481678,21,21.352997616345625,5157,380.1414561969761,0.48958
Algoritmo Genético,33,22.09037291177705,84,56.74558042787547,45,22.34773994165864,8769,470.1099395400457,0.44048624999999997
Algoritmo Genético,29,18.939740418534228,74,47.31096565503127,22,40.20081119682367,1019,495.784946167901,0.48822875
Algoritmo Genético,23,23.4229497053158,93,51.23543926131551,57,26.83427926726962,3086,254.0380993328871,0.468251875
Algoritmo Genético,24,24.317198126864263,71,44.242759681104346,34,48.27848053915431,8660,439.9826632617351,0.463466875
Algoritmo Genético,34,18.531634441866643,83,56.983097735013416,58,3.58172340561874,1777,447.20990303757566,0.43788875
Algoritmo Genético,31,20.68247446023129,75,45.31038361052425,43,1.156529321720514,4223,393.94555743594674,0.466321875
Algoritmo Genético,32,21.935273650193416,51,45.73065697338589,14,32.221181886368896,4161,251.48547032995592,0.5099825
Algoritmo Genético,27,23.02213780660665,43,59.16269007344671,57,45.18853032814636,4731,231.44412107711625,0.497944375
Algoritmo Genético,23,22.83742177923964,97,45.530123767119406,45,0.4659883779700635,4962,447.24830077652894,0.481550625
Algoritmo Genético,34,23.22288954834806,80,40.50997360820501,14,18.261743326788768,3697,275.16020449944176,0.457459375
Algoritmo Genético,24,20.028962494728304,83,53.205919284729845,58,5.18183157156523,6691,450.3014720664812,0.439401875
Algoritmo Genético,30,24.798855707880765,96,50.60321967059999,19,0.7707956629789048,4141,241.81160331590308,0.49530125
Algoritmo Genético,20,24.47007201039494,74,49.663203434671566,0,45.380217505018166,4474,301.8543531592552,0.49887875
Algoritmo Genético,36,20.12824270931125,56,50.03620508559527,48,53.23897323050409,4779,200.75645703432565,0.46330562499999994
