VA_Set,Heurística,Ejecución,VA_Temp,VO_Temp,VA_Hum,VO_Hum,VA_Noise,VO_Noise,VA_Light,VO_Luz,Satisfacción,Satisfacción_S,Satisfacción_E
6,Recocido Simulado,18,26,18.032922549821148,92,50.2075039364897,2,2.1196397087098173,3481,488.25630645824907,0.6156874999999999,0.43138000000000004,0.4688925
6,Recocido Simulado,19,26,22.038226486550172,92,40.66889398658031,2,3.547049116773251,3481,499.22854155158524,0.6173124999999999,0.47298,0.644345
6,Recocido Simulado,20,26,19.265665346784346,92,59.71034159677427,2,2.4886348156765314,3481,485.5209855793031,0.61376625,0.72726,0.19394
6,Recocido Simulado,21,26,22.743801635122953,92,50.095299027997854,2,7.142801512585009,3481,496.7612074283469,0.6087724999999999,0.09601,0.6999925
6,Recocido Simulado,22,26,23.371924062827354,92,50.62676003908687,2,3.045899638732674,3481,498.67251084060376,0.61810875,0.41735,0.5009
6,Recocido Simulado,23,26,19.00367532878452,92,48.48102228643462,2,2.184121279822364,3481,493.4269581051189,0.61770375,0.8876200000000001,0.0376825
6,Recocido Simulado,24,26,25.17764530491875,92,58.96395397645109,2,2.0423666605465796,3481,495.92837052625043,0.61904625,0.39309999999999995,0.5139975
6,Recocido Simulado,25,26,25.613556331778888,92,53.2034301824164,2,5.160115707976971,3481,496.5857091863793,0.6128525,0.39894,0.547875
6,Recocido Simulado,26,26,24.948801409573555,92,53.925777131801894,2,2.013748377871345,3481,492.119840573796,0.61750625,0.53027,0.5
6,Recocido Simulado,27,26,19.924941283326806,92,52.93710484125044,2,3.515754812323897,3481,494.1457069930513,0.6152299999999999,0.60826,0.25
6,Recocido Simulado,28,26,23.494205662520354,92,42.328739544421474,2,2.8467793807264563,3481,490.0831520138314,0.6149225,0.47492999999999996,0.3428725
6,Recocido Simulado,29,26,24.25261265700442,92,46.72629139037993,2,5.094620137332484,3481,490.86418586592794,0.61058625,0.13136,0.75
6,Recocido Simulado,30,26,25.90275733973079,92,57.428942816167115,2,3.138278410021591,3481,494.89406003153215,0.6163112500000001,0.23273,0.75
7,Recocido Simulado,1,27,19.301861927520676,46,46.504288996940524,52,47.120246290601706,1812,497.1886103342216,0.59616875,0.66666,0.481605
7,Recocido Simulado,2,27,21.5948415651396,46,46.31515761355263,52,44.191655307939186,1812,490.4904995615835,0.5937399999999999,0.67905,0.3903525
7,Recocido Simulado,3,27,20.542482670160442,46,46.54813097148398,52,50.35486527855453,1812,487.3895667496622,0.5926825,0.37798,0.7161025
7,Recocido Simulado,4,27,25.982210981714243,46,46.73261157488697,52,48.481382316880655,1812,482.2057995400457,0.58886,0.40045,0.727095
7,Recocido Simulado,5,27,20.013206852644586,46,47.59238516735572,52,44.128590198770475,1812,498.29600113659484,0.5889925,0.79361,0.18767
7,Recocido Simulado,6,27,18.946991717971954,46,46.88636963906953,52,45.341006327223155,1812,498.27549349326443,0.5937375,0.31508,0.5820925
7,Recocido Simulado,7,27,21.038734641561565,46,46.63662016118984,52,39.45053114249485,1812,487.7077101312022,0.58927375,0.41547,0.42141249999999997
7,Recocido Simulado,8,27,21.037174798433455,46,46.04155245284584,52,52.33093999714503,1812,495.59424731111096,0.60136625,0.63127,0.42948
7,Recocido Simulado,9,27,23.332945093833125,46,46.30205966794204,52,19.35484548862563,1812,498.65367297403867,0.59038625,0.61365,0.350985
7,Recocido Simulado,10,27,23.448393232096358,46,46.6098291434505,52,29.70159400141853,1812,488.1695782533893,0.5869125,0.38477,0.5802925
7,Recocido Simulado,11,27,19.04388664803644,46,46.48551915748604,52,35.513623515003104,1812,492.8390915472127,0.59124,0.53479,0.510365
7,Recocido Simulado,12,27,20.28463431623296,46,46.67460407867537,52,46.82154812134777,1812,498.087148763846,0.59537125,0.55898,0.5462975
7,Recocido Simulado,13,27,24.860263068842848,46,46.20001185750195,52,41.87849444205401,1812,498.8396293027951,0.59727625,0.6779999999999999,0.25
7,Recocido Simulado,14,27,20.446942206623945,46,46.09898873392183,52,50.15763216297984,1812,476.24615654572625,0.59078,0.5831,0.43972500000000003
7,Recocido Simulado,15,27,24.80092117899567,46,46.984529367033026,52,54.968232486734614,1812,476.20520408970697,0.5819300000000001,0.79095,0.27162
7,Recocido Simulado,16,27,19.78420635900705,46,47.02753857542609,52,49.03553161184515,1812,489.1162413060178,0.59002375,0.51796,0.5
7,Recocido Simulado,17,27,20.631636833169097,46,46.08851856146131,52,30.97567757185066,1812,486.28762660835514,0.5897650000000001,0.58714,0.3541925
7,Recocido Simulado,18,27,23.05519847845205,46,46.90800402542457,52,51.29188398245562,1812,490.09405545089555,0.59178875,0.77413,0.26974750000000003
7,Recocido Simulado,19,27,18.385227710030545,46,46.04995175244473,52,26.21750637390278,1812,494.709824676893,0.5922025,0.12546,0.708605
7,Recocido Simulado,20,27,21.16615654592197,46,47.076713868474144,52,6.649898862800625,1812,496.87079301270234,0.5812999999999999,0.5788,0.3456575
7,Recocido Simulado,21,27,23.427029561810595,46,46.977078782381454,52,28.56179218357633,1812,496.33052535929556,0.587705,0.54646,0.34652
7,Recocido Simulado,22,27,22.722409235997056,46,46.64169824601918,52,55.32710726878858,1812,489.3542147104465,0.5887725,0.29587,0.587765
7,Recocido Simulado,23,27,19.283640791973628,46,47.11346542342849,52,52.160770420469596,1812,478.53428819504745,0.5879225,0.35575,0.59697
7,Recocido Simulado,24,27,21.151052232641312,46,46.95034259405732,52,52.886249057750376,1812,498.7172295210903,0.5958300000000001,0.58396,0.2721225
7,Recocido Simulado,25,27,25.4712277789337,46,46.08144674335852,52,39.1997619841037,1812,499.0181140412262,0.597375,0.44327,0.5181875
7,Recocido Simulado,26,27,19.920663851110767,46,46.28827625774467,52,20.615807121045172,1812,479.3729218661157,0.5827725,0.53629,0.29349000000000003
7,Recocido Simulado,27,27,23.207825807629064,46,47.11966315018965,52,55.33767276718298,1812,492.388004730642,0.5870675000000001,0.30123,0.75
7,Recocido Simulado,28,27,23.303001501221033,46,46.23644571019905,52,37.235545003001825,1812,481.5571752777846,0.588565,0.3482,0.5
7,Recocido Simulado,29,27,25.985253058283703,46,46.94688574960429,52,51.62689174429037,1812,491.04454534864993,0.59203625,0.42251,0.530015
7,Recocido Simulado,30,27,18.3146074851891,46,46.64399322603532,52,53.51418763853782,1812,498.9782640455774,0.59653625,0.70026,0.3808675
8,Recocido Simulado,1,28,25.916013494772177,78,57.914531522395635,43,42.41210230412967,6093,496.75245547494745,0.5307775,0.57035,0.4171475
8,Recocido Simulado,2,28,20.475322518680102,78,40.553027792997526,43,43.14465166080322,6093,495.8835650750998,0.53341875,0.739,0.25
8,Recocido Simulado,3,28,19.245174898759345,78,46.00733795556782,43,43.42430998311729,6093,491.39256804541935,0.5309375000000001,0.6816599999999999,0.2766575
8,Recocido Simulado,4,28,21.159657079314876,78,43.44129492219912,43,45.201708730002835,6093,499.8957531160445,0.5307775,0.28352,0.6153375
8,Recocido Simulado,5,28,21.53434417954478,78,40.734918362916545,43,34.757471810305404,6093,491.33940980685355,0.52273,0.67535,0.239955
8,Recocido Simulado,6,28,22.83294340227434,78,59.03559136455064,43,44.348016338492414,6093,498.9124549032494,0.5321625,0.56194,0.366135
8,Recocido Simulado,7,28,18.813496768664777,78,47.59956528076421,43,44.782973335311986,6093,498.17317302060496,0.53095375,0.4675,0.50841
8,Recocido Simulado,8,28,18.765935501873802,78,52.64572734524772,43,39.66154465222362,6093,488.94540112768516,0.52544375,0.43755,0.4627525
8,Recocido Simulado,9,28,23.86644785424921,78,50.230330307540484,43,40.92307924643701,6093,497.9050751248851,0.5301525,0.47134,0.3381075
8,Recocido Simulado,10,28,24.964272038003042,78,47.199262729254954,43,40.40163946833744,6093,491.3479013957663,0.52700875,0.68516,0.1774775
8,Recocido Simulado,11,28,26.0,78,40.0,43,43.15841762213682,6093,492.7927990702941,0.5320849999999999,0.51555,0.4832775
8,Recocido Simulado,12,28,26.0,78,60.0,43,42.71843743641735,6093,500.0,0.53236375,0.5539000000000001,0.421945
8,Recocido Simulado,13,28,19.88430334140745,78,58.051399654258546,43,44.200899227875325,6093,497.78531416429684,0.53201875,0.24945,0.64609
8,Recocido Simulado,14,28,21.74566410896146,78,50.954725345621355,43,42.416993752575884,6093,495.5223456361844,0.5302862500000001,0.48677000000000004,0.3739675
8,Recocido Simulado,15,28,23.673748768051496,78,45.459593652717416,43,42.81753186296335,6093,495.9722394530385,0.5307412499999999,0.45192,0.4246375
8,Recocido Simulado,16,28,20.423129776818378,78,53.26730247190491,43,43.551686340714696,6093,486.07653178132045,0.5284675,0.56881,0.26631000000000005
8,Recocido Simulado,17,28,19.4595097206707,78,59.91357116246355,43,37.467368015860494,6093,492.2241087477774,0.5251362500000001,0.67829,0.25
8,Recocido Simulado,18,28,22.02133284643675,78,43.913785154711675,43,43.692214901448615,6093,498.6548903532463,0.533425,0.5049,0.5
8,Recocido Simulado,19,28,19.112206815601944,78,59.56775012010304,43,41.346341590664565,6093,497.4303761738915,0.5302687500000001,0.5002,0.3757275
8,Recocido Simulado,20,28,18.0,78,41.07909277586633,43,37.99452211684733,6093,499.9046052519574,0.5287325,0.8281000000000001,0.22936499999999999
8,Recocido Simulado,21,28,23.09380116921669,78,41.4605208372107,43,44.879292901849595,6093,490.3166470310916,0.52745,0.38028,0.5028725000000001
8,Recocido Simulado,22,28,21.947897245939384,78,52.18853818935384,43,44.67776702325828,6093,489.49003958594267,0.52752,0.53434,0.302035
8,Recocido Simulado,23,28,21.49116840386727,78,53.05241570940227,43,42.34399138172942,6093,488.38574517876197,0.5272275,0.30147,0.522365
8,Recocido Simulado,24,28,20.25293544295879,78,54.454606553127334,43,41.70145765488496,6093,495.0904398460074,0.52954375,0.67476,0.3069825
